User_Interest,User_Budget,Place_Name,Place_Type,Place_Budget,State,User_Rating
City Life,Low,Kolkata,City Life,Low,West Bengal,5.0
Hill Station,High,Kolkata,City Life,High,West Bengal,2.91
Religious,High,Jim Corbett,Wildlife,Medium,Uttarakhand,2.01
Wildlife,Medium,Ooty,Hill Station,Low,Tamil Nadu,2.01
Hill Station,Medium,Hampi,Historical,Low,Karnataka,2.0
Adventure,High,Ooty,Hill Station,High,Tamil Nadu,2.9
City Life,Medium,Dandeli,Adventure,High,Karnataka,1.41
Beach,High,Khajuraho,Historical,High,MP,2.9
City Life,Medium,Varanasi,Religious,Medium,UP,2.91
Beach,Medium,Jaipur,Historical,High,Rajasthan,1.41
Religious,Low,Kolkata,City Life,Medium,West Bengal,1.4
Hill Station,Medium,Bandipur,Wildlife,Medium,Karnataka,2.91
Wildlife,Low,Bangalore,City Life,Medium,Karnataka,1.4
Hill Station,Medium,Yadadri,Religious,High,Telangana,1.41
Wildlife,High,Varanasi,Religious,Medium,UP,2.0
Historical,Medium,Hyderabad,City Life,Medium,Telangana,2.91
Religious,Low,Alibaug,Beach,High,Maharashtra,1.4
Beach,High,Baga,Beach,High,Goa,5.0
Beach,High,Rishikesh,Adventure,High,Uttarakhand,2.9
City Life,Medium,Radhanagar,Beach,High,Andaman,1.41
Religious,Medium,Puri,Beach,Low,Odisha,2.01
Wildlife,High,Rishikesh,Adventure,High,Uttarakhand,2.9
Wildlife,High,Alibaug,Beach,Medium,Maharashtra,2.0
Wildlife,High,Rishikesh,Adventure,High,Uttarakhand,2.9
Hill Station,Low,Rishikesh,Adventure,Low,Uttarakhand,2.91
Wildlife,Low,Hyderabad,City Life,High,Telangana,1.41
Religious,Low,Kolkata,City Life,High,West Bengal,1.4
Hill Station,Medium,Ajanta,Historical,Low,Maharashtra,2.0
Religious,Medium,Gir,Wildlife,Medium,Gujarat,2.9
Beach,High,Kaziranga,Wildlife,Low,Assam,2.0
Wildlife,Low,Bodh Gaya,Religious,Low,Bihar,2.9
Wildlife,High,Puri,Beach,Low,Odisha,2.01
Hill Station,High,Spiti,Adventure,Low,Himachal,2.0
Wildlife,Low,Ooty,Hill Station,Medium,Tamil Nadu,1.41
Adventure,Low,Red Fort,Historical,Low,Delhi,2.9
Hill Station,Medium,Yadadri,Religious,High,Telangana,1.4
Beach,Low,Spiti,Adventure,Medium,Himachal,1.41
Hill Station,Medium,CP,City Life,High,Delhi,1.41
Adventure,Low,Ahmedabad,City Life,Low,Gujarat,2.91
Wildlife,Medium,Rishikesh,Adventure,Low,Uttarakhand,2.0
Wildlife,Low,Dandeli,Adventure,High,Karnataka,1.4
Hill Station,High,Kolkata,City Life,High,West Bengal,2.9
Beach,High,Manali,Hill Station,High,Himachal,2.9
Beach,Medium,Ahmedabad,City Life,Medium,Gujarat,2.9
Religious,Medium,Radhanagar,Beach,Low,Andaman,2.0
Wildlife,Low,Khajuraho,Historical,High,MP,1.4
Adventure,High,Dandeli,Adventure,Medium,Karnataka,4.11
Religious,High,Radhanagar,Beach,Medium,Andaman,2.01
Wildlife,High,Kaziranga,Wildlife,High,Assam,5.0
Hill Station,Medium,Nainital,Hill Station,Medium,Uttarakhand,5.0
Historical,Low,Varanasi,Religious,Low,UP,2.9
Religious,High,Rishikesh,Adventure,Low,Uttarakhand,2.01
Adventure,High,Bandipur,Wildlife,Medium,Karnataka,2.01
Wildlife,Low,Spiti,Adventure,High,Himachal,1.4
