place_id,state_id,city_id,state_name,city_name,place_name,alternate_names,place_type,description,short_description,latitude,longitude,address,google_maps_url,rating,review_count,best_time_to_visit,estimated_visit_duration_hours,opening_time,closing_time,entry_fee,currency,price_level,budget_level,category,subcategory,secondary_categories,accessibility,difficulty_level,family_friendly,couple_friendly,kids_friendly,elderly_friendly,photography_allowed,parking_available,nearest_landmark,nearest_airport,nearest_railway_station,distance_from_city_center_km,is_popular,is_hidden,is_offbeat,is_featured,recommended_for,tags,source_id
PL-0001,ST-33,CT-0001,Tamil Nadu,Chennai,Government Museum Chennai,,Museum,,,13.069764,80.257036,"Pantheon Rd, Egmore, Chennai, Tamil Nadu 600008",https://www.google.com/maps/place/?q=place_id:ChIJ-4qb8w5mUjoRNhwcE3v6B5U,4.3,20085,,,,,,INR,,,History,Museum,,Unknown,Unknown,,,,,,,,,,,True,False,False,True,"History Lovers,Photography","museum,history_museum,art_museum",SRC-0001
PL-0002,ST-33,CT-0001,Tamil Nadu,Chennai,Marina Beach,,Beach,One of the longest urban beaches in the world,One of the longest urban beaches in the world,13.047126,80.282434,"Marina Beach, Triplicane, Chennai, Tamil Nadu 600005",https://www.google.com/maps/place/?q=place_id:ChIJOUzl29xpUjoRC6lritlWRqM,4.4,23842,,,,,,INR,,,Beach,Beach,,Unknown,Unknown,,,,,,,,,,,True,False,False,True,"Couples,Family,Photography",,SRC-0002
PL-0003,ST-33,CT-0001,Tamil Nadu,Chennai,Fort St. George Museum,,Museum,,,13.080638,80.287619,"Rajaji Rd, Fort St George, Chennai, Tamil Nadu 600009",https://www.google.com/maps/place/?q=place_id:ChIJlVHnD61oUjoR_ZKcRDdK_0w,4.3,6245,,,,,,INR,,,History,Museum,,Unknown,Unknown,,,,,,,,,,,True,False,False,False,"History Lovers,Photography","museum,history_museum",SRC-0003
PL-0004,ST-33,CT-0001,Tamil Nadu,Chennai,Guindy National Park,,National Park,One of the few national parks located within a city,One of the few national parks located within a city,13.004925,80.237873,"Rangeguindy, Chennai, Tamil Nadu 600022",https://www.google.com/maps/place/?q=place_id:ChIJ82Efv3lnUjoRjSaF7VXwq-o,4.1,28325,,,,,,INR,,,Wildlife,National Park,,Unknown,Unknown,,,,,,,,,,,True,False,False,True,"Family,Nature Lovers","national_park,park",SRC-0004
PL-0005,ST-33,CT-0001,Tamil Nadu,Chennai,Snow Kingdom,,Adventure Park,,,12.913309,80.251341,"SH 49, Injambakkam, Chennai, Tamil Nadu 600115",https://www.google.com/maps/place/?q=place_id:ChIJoeVgAZdcUjoRU8iNNuLYHW4,4.7,37535,,,,,,INR,,,Entertainment,Adventure Park,,Unknown,Unknown,,,,,,,,,,,True,False,False,True,"Family,Kids",amusement_park,SRC-0005
PL-0006,ST-33,CT-0001,Tamil Nadu,Chennai,Adyar Banyan Tree,,Nature Spot,Over 450-year-old banyan tree; visitor access restricted,Over 450-year-old banyan tree; visitor access restricted,13.010276,80.268307,"Theosophical Society, Besant Nagar, Chennai, Tamil Nadu 600020",https://www.google.com/maps/place/?q=place_id:ChIJndbFV-ZnUjoRk46rcbQWXnc,4.3,612,,,,,,INR,,,Nature,Nature Spot,,Unknown,Unknown,,,,,,,,,,,False,False,False,False,"Nature Lovers,Photography",,SRC-0006
PL-0007,ST-33,CT-0001,Tamil Nadu,Chennai,Chennai Snake Park,,Zoo,,,13.003379,80.238636,"Raj Bhavan post, Guindy National Park, Chennai, Tamil Nadu 600022",https://www.google.com/maps/place/?q=place_id:ChIJU3TYU3FnUjoRB-aq_tlGV7Q,4.1,13349,,,,,,INR,,,Wildlife,Zoo,,Unknown,Unknown,,,,,,,,,,,True,False,False,False,"Family,Nature Lovers","zoo,park",SRC-0007
PL-0008,ST-33,CT-0001,Tamil Nadu,Chennai,Chennai Lighthouse,,Lighthouse,,,13.039735,80.279298,"Marina Beach Road, Mylapore, Chennai, Tamil Nadu 600004",https://www.google.com/maps/place/?q=place_id:ChIJ5dptVYBoUjoRCQL97Hq9F1w,4.5,21316,,,,,,INR,,,Architecture,Lighthouse,,Unknown,Unknown,,,,,,,,,,,True,False,False,True,"Photography,History Lovers",museum,SRC-0008
PL-0009,ST-33,CT-0001,Tamil Nadu,Chennai,VGP Universal Kingdom,,Adventure Park,,,12.914221,80.250524,"SH 49, Injambakkam, Chennai, Tamil Nadu 600115",https://www.google.com/maps/place/?q=place_id:ChIJNYWlz-dcUjoRLx2FG0jgw5Y,4.0,41110,,,,,,INR,,,Entertainment,Adventure Park,,Unknown,Unknown,,,,,,,,,,,True,False,False,True,"Family,Kids","amusement_park,water_park",SRC-0009
PL-0010,ST-33,CT-0001,Tamil Nadu,Chennai,Marina Beach Point (Southern Stretch),,Beach,Alternate access point on Marina Beach,Alternate access point on Marina Beach,13.05519,80.28471,"Marina Beach Road, Triplicane, Chennai, Tamil Nadu 600005",https://www.google.com/maps/place/?q=place_id:ChIJIcgQ7rBpUjoRddTIPRpYyfA,4.4,403,,,,,,INR,,,Beach,Beach,,Unknown,Unknown,,,,,,,,,,,False,False,False,False,"Couples,Family,Photography",,SRC-0010
PL-0011,ST-33,CT-0002,Tamil Nadu,Madurai,Gandhi Memorial Museum,,Museum,,,9.929948,78.138385,"Collector Office Rd, Alwarpuram, Madurai, Tamil Nadu 625020",https://www.google.com/maps/place/?q=place_id:ChIJbQvbHLzFADsRh3MOwOrofDw,4.2,6817,,,,,,INR,,,History,Museum,,Unknown,Unknown,,,,,,,,,,,True,False,False,False,"History Lovers,Photography",museum,SRC-0011
PL-0012,ST-33,CT-0002,Tamil Nadu,Madurai,Arulmigu Koodal Azhagar Temple,,Temple,One of 108 Divya Desams dedicated to Vishnu,One of 108 Divya Desams dedicated to Vishnu,9.91438,78.113549,"Koodal Alagar Perumal Koil Street, Madurai, Tamil Nadu 625001",https://www.google.com/maps/place/?q=place_id:ChIJUZYrS4DFADsRZgiZpxfy9-o,4.7,12079,,,,,,INR,,,Religious,Temple,,Unknown,Unknown,,,,,,,,,,,True,False,False,False,"Spiritual Travelers,History Lovers","hindu_temple,place_of_worship",SRC-0012
PL-0013,ST-33,CT-0002,Tamil Nadu,Madurai,Meenakshi Amman Temple,,Temple,UNESCO-recognised heritage temple with 14 gopurams; cultural heart of Madurai,UNESCO-recognised heritage temple with 14 gopurams; cultural heart of Madurai,9.919505,78.119342,"Madurai Main, Madurai, Tamil Nadu 625001",https://www.google.com/maps/place/?q=place_id:ChIJh2nkYYTFADsRA2co5RxiNPE,4.7,88761,,,,,,INR,,,Religious,Temple,,Unknown,Unknown,,,,,,,,,,,True,False,False,True,"Spiritual Travelers,History Lovers","hindu_temple,place_of_worship",SRC-0013
PL-0014,ST-33,CT-0002,Tamil Nadu,Madurai,Shri Koodal Azhagar Perumal Temple Tower,,Temple,,,9.914404,78.113411,"Koodal Alagar Perumal Koil St, Madurai, Tamil Nadu 625001",https://www.google.com/maps/place/?q=place_id:ChIJ068SBS_FADsRa-MMt3Nr1eA,4.5,42,,,,,,INR,,,Religious,Temple,,Unknown,Unknown,,,,,,,,,,,False,False,False,False,"Spiritual Travelers,History Lovers",,SRC-0014
PL-0015,ST-33,CT-0002,Tamil Nadu,Madurai,Kazimar Big Mosque,,Mosque,12th-century mosque,12th-century mosque,9.912815,78.114229,"Kazimar St, Madurai, Tamil Nadu 625001",https://www.google.com/maps/place/?q=place_id:ChIJO3fQ14HFADsRlDREgXkt9ps,4.6,421,,,,,,INR,,,Religious,Mosque,,Unknown,Unknown,,,,,,,,,,,False,False,False,False,"Spiritual Travelers,History Lovers","mosque,place_of_worship",SRC-0015
PL-0016,ST-33,CT-0002,Tamil Nadu,Madurai,"Samanar Hill, Keelakuyilkudi",,Archaeological Site,Ancient Jain caves and stone beds over 2000 years old; short trek to summit,Ancient Jain caves and stone beds over 2000 years old; short trek to summit,9.922194,78.048993,"Kilakuyilkudi, Vadivelkarai, Tamil Nadu 625019",https://www.google.com/maps/place/?q=place_id:ChIJ-_hi5u3OADsR4qZH98sX6gw,4.6,1840,,,,,,INR,,,Heritage,Archaeological Site,,Unknown,Unknown,,,,,,,,,,,True,False,False,False,"History Lovers,Photography","historical_landmark,hindu_temple,historical_place",SRC-0016
PL-0017,ST-33,CT-0002,Tamil Nadu,Madurai,Arulmigu Immaiyilum Nanmai Tharuvar Temple,,Temple,One of Madurai's Pancha Bootha Thalams (earth element),One of Madurai's Pancha Bootha Thalams (earth element),9.915794,78.114535,"Arisekara St, Madurai, Tamil Nadu 625001",https://www.google.com/maps/place/?q=place_id:ChIJ54x0C4HFADsRFFK2m9pDm_0,4.7,6112,,,,,,INR,,,Religious,Temple,,Unknown,Unknown,,,,,,,,,,,True,False,False,False,"Spiritual Travelers,History Lovers","hindu_temple,place_of_worship",SRC-0017
PL-0018,ST-33,CT-0002,Tamil Nadu,Madurai,Shri Madurai Veeran Swamy Temple,,Temple,,,9.919493,78.119343,"E Chitrai St, Madurai, Tamil Nadu 625001",https://www.google.com/maps/place/?q=place_id:ChIJ19XWlYTFADsREvqcrCqZhB8,4.6,93,,,,,,INR,,,Religious,Temple,,Unknown,Unknown,,,,,,,,,,,False,False,False,False,"Spiritual Travelers,History Lovers","hindu_temple,place_of_worship",SRC-0018
PL-0019,ST-33,CT-0003,Tamil Nadu,Coimbatore,Gedee Car Museum,,Museum,,,11.006626,76.977926,"Avinashi Rd, Race Course, Coimbatore, Tamil Nadu 641018",https://www.google.com/maps/place/?q=place_id:ChIJY7MFr7FZqDsRdVh2olV7hHk,4.6,12648,,,,,,INR,,,History,Museum,,Unknown,Unknown,,,,,,,,,,,True,False,False,False,"History Lovers,Photography",museum,SRC-0019
PL-0020,ST-33,CT-0003,Tamil Nadu,Coimbatore,Race Course - Zone 2,,Market/Promenade,,,11.003403,76.978288,"GD Naidu St, Race Course, Coimbatore, Tamil Nadu 641018",https://www.google.com/maps/place/?q=place_id:ChIJGfUTRepZqDsRvz82X4HIaJA,4.5,1971,,,,,,INR,,,Culture,Market/Promenade,,Unknown,Unknown,,,,,,,,,,,True,False,False,False,"Photography,History Lovers",,SRC-0020
PL-0021,ST-33,CT-0003,Tamil Nadu,Coimbatore,Smart City Valankulam Lakefront,,Lake,,,10.992018,76.977531,"Sungam Bypass Rd, Coimbatore, Tamil Nadu 641018",https://www.google.com/maps/place/?q=place_id:ChIJM41iAf1ZqDsRVcUzwROwPkA,4.4,457,,,,,,INR,,,Nature,Lake,,Unknown,Unknown,,,,,,,,,,,False,False,False,False,"Nature Lovers,Photography",,SRC-0021
PL-0022,ST-33,CT-0003,Tamil Nadu,Coimbatore,"Clock Tower, RS Puram",,Landmark,,,11.010144,76.950513,"Diwan Bahadur Rd, R.S. Puram, Coimbatore, Tamil Nadu 641002",https://www.google.com/maps/place/?q=place_id:ChIJKafCwTpZqDsRjIPJqdLGJJU,4.5,1353,,,,,,INR,,,Culture,Landmark,,Unknown,Unknown,,,,,,,,,,,True,False,False,False,"Photography,History Lovers",,SRC-0022
PL-0023,ST-33,CT-0003,Tamil Nadu,Coimbatore,TNAU Botanical Garden,,Garden,,,11.014793,76.931536,"Marudhamalai Rd, TNAU, Coimbatore, Tamil Nadu 641003",https://www.google.com/maps/place/?q=place_id:ChIJF4_CSNhYqDsROGVGpW7RTwg,4.2,4599,,,,,,INR,,,Nature,Garden,,Unknown,Unknown,,,,,,,,,,,True,False,False,False,"Nature Lovers,Photography",botanical_garden,SRC-0023
PL-0024,ST-33,CT-0003,Tamil Nadu,Coimbatore,Amphitheatre Ukkadam,,Lake/Viewpoint,,,10.985002,76.950861,"Perur Bypass Rd, Ukkadam, Coimbatore, Tamil Nadu 641001",https://www.google.com/maps/place/?q=place_id:ChIJM16I83VZqDsRwBaR3qADJnc,4.2,180,,,,,,INR,,,Nature,Lake/Viewpoint,,Unknown,Unknown,,,,,,,,,,,False,False,False,False,"Nature Lovers,Photography",,SRC-0024
