duplicate_place_name,duplicate_city,duplicate_source,canonical_place_name,canonical_city,canonical_source,dedup_method
Abbey Falls,Coorg,Tourist_Places_merged,Abbey Falls,Coorg,Top_Indian_Places_to_Visit,exact_normalized_key
Aga Khan Palace,Pune,india_tourism_food_dataset,Aga Khan Palace,Pune,Tourist_Places_merged,exact_normalized_key
Agrasen ki Baoli,Delhi,Tourist_Places_merged,Agrasen ki Baoli,Delhi,Top_Indian_Places_to_Visit,exact_normalized_key
Ajanta Caves,Ajanta and Ellora Caves,Expanded_Indian_Travel_Dataset,Ajanta Caves,Ajanta and Ellora Caves,Tourist_Places_merged,exact_normalized_key
Ajanta Caves,Ajanta and Ellora Caves,Expanded_Indian_Travel_Dataset,Ajanta Caves,Ajanta and Ellora Caves,Tourist_Places_merged,exact_normalized_key
Ajanta Caves,Ajanta and Ellora Caves,Expanded_Indian_Travel_Dataset,Ajanta Caves,Ajanta and Ellora Caves,Tourist_Places_merged,exact_normalized_key
Ajanta Caves,Ajanta and Ellora Caves,Expanded_Indian_Travel_Dataset,Ajanta Caves,Ajanta and Ellora Caves,Tourist_Places_merged,exact_normalized_key
Ajanta Caves,Ajanta and Ellora Caves,Expanded_Indian_Travel_Dataset,Ajanta Caves,Ajanta and Ellora Caves,Tourist_Places_merged,exact_normalized_key
Ajanta Caves,Ajanta and Ellora Caves,Expanded_Indian_Travel_Dataset,Ajanta Caves,Ajanta and Ellora Caves,Tourist_Places_merged,exact_normalized_key
Ajanta Caves,Ajanta and Ellora Caves,Expanded_Indian_Travel_Dataset,Ajanta Caves,Ajanta and Ellora Caves,Tourist_Places_merged,exact_normalized_key
Ajanta Caves,Ajanta and Ellora Caves,Expanded_Indian_Travel_Dataset,Ajanta Caves,Ajanta and Ellora Caves,Tourist_Places_merged,exact_normalized_key
Ajanta Caves,Ajanta and Ellora Caves,Expanded_Indian_Travel_Dataset,Ajanta Caves,Ajanta and Ellora Caves,Tourist_Places_merged,exact_normalized_key
