city_id,city_name,state,district,tourist_place_count,coverage_status
CT-0001,Baratang Island,Andaman and Nicobar Islands,,1,NEEDS_EXTENSIVE_RESEARCH
CT-0002,Havelock Island,Andaman and Nicobar Islands,,1,NEEDS_EXTENSIVE_RESEARCH
CT-0003,Neil Island,Andaman and Nicobar Islands,,1,NEEDS_EXTENSIVE_RESEARCH
CT-0004,Port Blair,Andaman and Nicobar Islands,Andamans,1,NEEDS_EXTENSIVE_RESEARCH
CT-0006,Anantapur,Andhra Pradesh,Anantapur,1,NEEDS_EXTENSIVE_RESEARCH
CT-0007,Guntur,Andhra Pradesh,Guntur,1,NEEDS_EXTENSIVE_RESEARCH
CT-0008,Kadapa,Andhra Pradesh,,1,NEEDS_EXTENSIVE_RESEARCH
CT-0009,Kurnool,Andhra Pradesh,Kurnool,1,NEEDS_EXTENSIVE_RESEARCH
CT-0010,Puttaparthi,Andhra Pradesh,,1,NEEDS_EXTENSIVE_RESEARCH
CT-0011,Rajahmundry,Andhra Pradesh,East Godavari,1,NEEDS_EXTENSIVE_RESEARCH
CT-0012,Srisailam,Andhra Pradesh,,1,NEEDS_EXTENSIVE_RESEARCH
CT-0016,Vizianagaram,Andhra Pradesh,Vizianagaram,1,NEEDS_EXTENSIVE_RESEARCH
CT-0019,Tawang,Arunachal Pradesh,Tawang,1,NEEDS_EXTENSIVE_RESEARCH
CT-0021,Hajo,Assam,,1,NEEDS_EXTENSIVE_RESEARCH
CT-0022,Kaziranga,Assam,,1,NEEDS_EXTENSIVE_RESEARCH
CT-0023,Kaziranga National Park,Assam,,1,NEEDS_EXTENSIVE_RESEARCH
CT-0024,Majuli,Assam,,1,NEEDS_EXTENSIVE_RESEARCH
CT-0025,Manas,Assam,,1,NEEDS_EXTENSIVE_RESEARCH
CT-0026,Sivasagar,Assam,,1,NEEDS_EXTENSIVE_RESEARCH
CT-0029,Bastar,Chhattisgarh,,1,NEEDS_EXTENSIVE_RESEARCH
CT-0032,New Delhi,Delhi,,1,NEEDS_EXTENSIVE_RESEARCH
CT-0036,Bhuj,Gujarat,Kachchh,1,NEEDS_EXTENSIVE_RESEARCH
CT-0037,Dwarka,Gujarat,Jamnagar,1,NEEDS_EXTENSIVE_RESEARCH
CT-0038,Gandhinagar,Gujarat,Gandhinagar,1,NEEDS_EXTENSIVE_RESEARCH
CT-0039,Junagadh,Gujarat,Junagadh,1,NEEDS_EXTENSIVE_RESEARCH
CT-0040,Kevadia,Gujarat,,1,NEEDS_EXTENSIVE_RESEARCH
CT-0041,Rann of Kutch,Gujarat,,1,NEEDS_EXTENSIVE_RESEARCH
CT-0042,Somnath,Gujarat,,1,NEEDS_EXTENSIVE_RESEARCH
CT-0048,Barot,Himachal Pradesh,,1,NEEDS_EXTENSIVE_RESEARCH
CT-0049,Bir Billing,Himachal Pradesh,,1,NEEDS_EXTENSIVE_RESEARCH
CT-0050,Chamba,Himachal Pradesh,Chamba,1,NEEDS_EXTENSIVE_RESEARCH
CT-0051,dalhousie,Himachal Pradesh,Chamba,1,NEEDS_EXTENSIVE_RESEARCH
CT-0052,Kangra,Himachal Pradesh,Kangra,1,NEEDS_EXTENSIVE_RESEARCH
CT-0054,Kinnaur,Himachal Pradesh,,1,NEEDS_EXTENSIVE_RESEARCH
CT-0055,Kufri,Himachal Pradesh,,1,NEEDS_EXTENSIVE_RESEARCH
CT-0056,Kullu,Himachal Pradesh,Kullu,1,NEEDS_EXTENSIVE_RESEARCH
CT-0058,Mandi,Himachal Pradesh,Mandi,1,NEEDS_EXTENSIVE_RESEARCH
CT-0059,Manikaran,Himachal Pradesh,,1,NEEDS_EXTENSIVE_RESEARCH
CT-0060,McLeod Ganj,Himachal Pradesh,,1,NEEDS_EXTENSIVE_RESEARCH
CT-0062,Narkanda,Himachal Pradesh,Shimla,1,NEEDS_EXTENSIVE_RESEARCH
CT-0063,Palampur,Himachal Pradesh,Kangra,1,NEEDS_EXTENSIVE_RESEARCH
CT-0065,Shoja,Himachal Pradesh,,1,NEEDS_EXTENSIVE_RESEARCH
