place_id,place_name,city,state,source_name,flag_activity_phrase,reason
PL-00134,Enjoy the Colours of Lajpat Nagar,Delhi,Delhi,Tourist_Places_merged,True,"Activity-phrased name, not a clean attraction name"
PL-00168,Shop & Eat at Dilli Haat,Delhi,Delhi,Tourist_Places_merged,True,"Activity-phrased name, not a clean attraction name"
PL-00169,Stroll through Pragati Maidan,Delhi,Delhi,Tourist_Places_merged,True,"Activity-phrased name, not a clean attraction name"
PL-00202,Explore Dona Paula,Goa,Goa,Tourist_Places_merged,True,"Activity-phrased name, not a clean attraction name"
PL-00215,Relax at the Palolem beach,Goa,Goa,Tourist_Places_merged,True,"Activity-phrased name, not a clean attraction name"
PL-00347,Capture the Sceneries of Old Manali,Manali,Himachal Pradesh,Tourist_Places_merged,True,"Activity-phrased name, not a clean attraction name"
PL-00353,Engage in the Adventures of Solang Valley,Manali,Himachal Pradesh,Tourist_Places_merged,True,"Activity-phrased name, not a clean attraction name"
PL-00354,Explore the Wildlife at Manali Sanctuary,Manali,Himachal Pradesh,Tourist_Places_merged,True,"Activity-phrased name, not a clean attraction name"
PL-00365,Marvel at the Gauri Shankar Temple,Manali,Himachal Pradesh,Tourist_Places_merged,True,"Activity-phrased name, not a clean attraction name"
PL-00381,Take a Dip in the Vashisht Baths,Manali,Himachal Pradesh,Tourist_Places_merged,True,"Activity-phrased name, not a clean attraction name"
PL-00383,Trek the Hampta Pass,Manali,Himachal Pradesh,Tourist_Places_merged,True,"Activity-phrased name, not a clean attraction name"
PL-00384,Trek through The Great Himalayan National Park,Manali,Himachal Pradesh,Tourist_Places_merged,True,"Activity-phrased name, not a clean attraction name"
PL-00385,Trek to Cafes in Malana,Manali,Himachal Pradesh,Tourist_Places_merged,True,"Activity-phrased name, not a clean attraction name"
PL-00386,Trek to the Beas Kund,Manali,Himachal Pradesh,Tourist_Places_merged,True,"Activity-phrased name, not a clean attraction name"
PL-00387,Trek to the Chandratal Baralacha lake,Manali,Himachal Pradesh,Tourist_Places_merged,True,"Activity-phrased name, not a clean attraction name"
PL-00587,Explore the Universe at Jawaharlal Nehru Planetarium,Bangalore,Karnataka,Tourist_Places_merged,True,"Activity-phrased name, not a clean attraction name"
PL-00608,Relax in Lal Bagh,Bangalore,Karnataka,Tourist_Places_merged,True,"Activity-phrased name, not a clean attraction name"
PL-00636,Engage in the Adventures around Somwarpet,Coorg,Karnataka,Tourist_Places_merged,True,"Activity-phrased name, not a clean attraction name"
PL-00650,Take a Dip under the Iruppu Falls,Coorg,Karnataka,Tourist_Places_merged,True,"Activity-phrased name, not a clean attraction name"
PL-00651,Take a Safari through Nagarhole National Park,Coorg,Karnataka,Tourist_Places_merged,True,"Activity-phrased name, not a clean attraction name"
PL-00652,Take a Walk in Madikeri Fort,Coorg,Karnataka,Tourist_Places_merged,True,"Activity-phrased name, not a clean attraction name"
PL-00654,Trek & Camp at Tadiandamol Peak,Coorg,Karnataka,Tourist_Places_merged,True,"Activity-phrased name, not a clean attraction name"
PL-00744,Abbey Falls,,Karnataka,Kerala_Karnataka_Districts,False,Missing state or city
PL-00745,Achyutaraya Temple,,Karnataka,Kerala_Karnataka_Districts,False,Missing state or city
PL-00746,Adichunchanagiri Hills,,Karnataka,Kerala_Karnataka_Districts,False,Missing state or city
PL-00747,Afzalpur Dargah,,Karnataka,Kerala_Karnataka_Districts,False,Missing state or city
PL-00748,Aland Dargah,,Karnataka,Kerala_Karnataka_Districts,False,Missing state or city
PL-00749,"Allalanatha Temple, Kondajji",,Karnataka,Kerala_Karnataka_Districts,False,Missing state or city
PL-00750,Aluva Sivarathri Manappuram,,Karnataka,Kerala_Karnataka_Districts,False,Missing state or city
PL-00751,Amani Byrasagara Lake,,Karnataka,Kerala_Karnataka_Districts,False,Missing state or city
PL-00752,Anamudi Peak,,Karnataka,Kerala_Karnataka_Districts,False,Missing state or city
PL-00753,Anjanadri Hill,,Karnataka,Kerala_Karnataka_Districts,False,Missing state or city
PL-00754,Anshi National Park,,Karnataka,Kerala_Karnataka_Districts,False,Missing state or city
PL-00755,Appa Lake,,Karnataka,Kerala_Karnataka_Districts,False,Missing state or city
PL-00756,Apsarakonda Falls,,Karnataka,Kerala_Karnataka_Districts,False,Missing state or city
PL-00757,Arakere Heritage,,Karnataka,Kerala_Karnataka_Districts,False,Missing state or city
PL-00758,Attukal Waterfalls,,Karnataka,Kerala_Karnataka_Districts,False,Missing state or city
PL-00759,Avalabetta,,Karnataka,Kerala_Karnataka_Districts,False,Missing state or city
PL-00760,Azhikode Munakkam Beach,,Karnataka,Kerala_Karnataka_Districts,False,Missing state or city
PL-00761,Badavilinga Temple,,Karnataka,Kerala_Karnataka_Districts,False,Missing state or city
PL-00762,Bagepalli (Silk Hub),,Karnataka,Kerala_Karnataka_Districts,False,Missing state or city
PL-00763,Balamuri & Yedamuri Falls,,Karnataka,Kerala_Karnataka_Districts,False,Missing state or city
PL-00764,Balamuri Falls,,Karnataka,Kerala_Karnataka_Districts,False,Missing state or city
PL-00765,Banavasi Madhukeshwara Temple,,Karnataka,Kerala_Karnataka_Districts,False,Missing state or city
PL-00766,Bandipur National Park,,Karnataka,Kerala_Karnataka_Districts,False,Missing state or city
PL-00767,Bannerghatta Biological Park,,Karnataka,Kerala_Karnataka_Districts,False,Missing state or city
PL-00768,Basaralu Temple,,Karnataka,Kerala_Karnataka_Districts,False,Missing state or city
PL-00769,Basaveshwara Statue (City Center),,Karnataka,Kerala_Karnataka_Districts,False,Missing state or city
PL-00770,Basti Hill,,Karnataka,Kerala_Karnataka_Districts,False,Missing state or city
PL-00771,Bejai Museum (Seemanthi Bai Government Museum),,Karnataka,Kerala_Karnataka_Districts,False,Missing state or city
PL-00772,Bengaluru Palace,,Karnataka,Kerala_Karnataka_Districts,False,Missing state or city
PL-00773,Bhagamandala,,Karnataka,Kerala_Karnataka_Districts,False,Missing state or city
PL-00774,Bhima River Banks,,Karnataka,Kerala_Karnataka_Districts,False,Missing state or city
PL-00775,Bhimeshwara Temple,,Karnataka,Kerala_Karnataka_Districts,False,Missing state or city
PL-00776,Bhoga Nandeeshwara Temple,,Karnataka,Kerala_Karnataka_Districts,False,Missing state or city
PL-00777,Bisle Ghat,,Karnataka,Kerala_Karnataka_Districts,False,Missing state or city
PL-00778,Blossom International Park,,Karnataka,Kerala_Karnataka_Districts,False,Missing state or city
PL-00779,Bolgatty Event Centre,,Karnataka,Kerala_Karnataka_Districts,False,Missing state or city
PL-00780,Brahmagiri Wildlife Sanctuary,,Karnataka,Kerala_Karnataka_Districts,False,Missing state or city
PL-00781,Brahmapur Temple,,Karnataka,Kerala_Karnataka_Districts,False,Missing state or city
PL-00782,Brindavan Gardens,,Karnataka,Kerala_Karnataka_Districts,False,Missing state or city
PL-00783,"Bucheshwara Temple, Koravangala",,Karnataka,Kerala_Karnataka_Districts,False,Missing state or city
PL-00784,Buddha Vihar,,Karnataka,Kerala_Karnataka_Districts,False,Missing state or city
PL-00785,Bull Temple,,Karnataka,Kerala_Karnataka_Districts,False,Missing state or city
PL-00786,Bylakuppe Tibetan Settlement (Golden Temple),,Karnataka,Kerala_Karnataka_Districts,False,Missing state or city
PL-00787,Captain Scott’s Bungalow,,Karnataka,Kerala_Karnataka_Districts,False,Missing state or city
PL-00788,Chamundi Hills,,Karnataka,Kerala_Karnataka_Districts,False,Missing state or city
PL-00789,Chandragiri Hill,,Karnataka,Kerala_Karnataka_Districts,False,Missing state or city
PL-00790,Chandralamba Temple (Sannati),,Karnataka,Kerala_Karnataka_Districts,False,Missing state or city
PL-00791,Chandrampalli Dam,,Karnataka,Kerala_Karnataka_Districts,False,Missing state or city
PL-00792,Chavundaraya Basadi,,Karnataka,Kerala_Karnataka_Districts,False,Missing state or city
PL-00793,Cheeyappara Waterfalls,,Karnataka,Kerala_Karnataka_Districts,False,Missing state or city
PL-00794,Chelavara Falls,,Karnataka,Kerala_Karnataka_Districts,False,Missing state or city
PL-00795,Chendamangalam Synagogue,,Karnataka,Kerala_Karnataka_Districts,False,Missing state or city
PL-00796,"Chennakeshava Temple, Belur",,Karnataka,Kerala_Karnataka_Districts,False,Missing state or city
PL-00797,Cherai Backwaters,,Karnataka,Kerala_Karnataka_Districts,False,Missing state or city
PL-00798,Chincholi Wildlife Sanctuary,,Karnataka,Kerala_Karnataka_Districts,False,Missing state or city
PL-00799,Chinnar Wildlife Sanctuary,,Karnataka,Kerala_Karnataka_Districts,False,Missing state or city
PL-00800,Chintamani,,Karnataka,Kerala_Karnataka_Districts,False,Missing state or city
PL-00801,Chithirapuram,,Karnataka,Kerala_Karnataka_Districts,False,Missing state or city
PL-00802,Chottanikkara Bhagavathy Temple,,Karnataka,Kerala_Karnataka_Districts,False,Missing state or city
PL-00803,Coffee Plantations,,Karnataka,Kerala_Karnataka_Districts,False,Missing state or city
PL-00804,Coracle Ride,,Karnataka,Kerala_Karnataka_Districts,False,Missing state or city
PL-00805,Cubbon Park,,Karnataka,Kerala_Karnataka_Districts,False,Missing state or city
PL-00806,Dandeli Wildlife Sanctuary,,Karnataka,Kerala_Karnataka_Districts,False,Missing state or city
PL-00807,Daria Daulat Bagh,,Karnataka,Kerala_Karnataka_Districts,False,Missing state or city
PL-00808,Datta Peetham,,Karnataka,Kerala_Karnataka_Districts,False,Missing state or city
PL-00809,Devanahalli Fort,,Karnataka,Kerala_Karnataka_Districts,False,Missing state or city
PL-00810,Devbagh Island,,Karnataka,Kerala_Karnataka_Districts,False,Missing state or city
PL-00811,Devikulam (Sita Devi Lake),,Karnataka,Kerala_Karnataka_Districts,False,Missing state or city
PL-00812,Dodda Aalada Mara (Big Banyan Tree),,Karnataka,Kerala_Karnataka_Districts,False,Missing state or city
