metric,value
total_master_records,3780
duplicate_place_ids,0
duplicate_name_city_pairs,0
missing_state,442
missing_city,692
missing_coordinates,3668
records_with_coordinates,112
invalid_coordinates,0
flagged_activity_phrase_names,59
needs_review_count,1188
verified_count,112
partially_verified_count,2480
states_uts_with_zero_data,3
total_cities_identified,303
cities_complete_10plus,116
cities_needs_research,14
cities_needs_extensive_research,173
duplicates_removed_exact,302
duplicates_removed_fuzzy,322
