place_id,place_name,city,state,match_score,reason
"place-radhanagar-beach-andaman","Radhanagar Beach","Havelock Island","Andaman and Nicobar Islands",42.5,"Low confidence score"
"place-suruli-falls-theni","Suruli Falls","Theni","Tamil Nadu",42.5,"Low confidence score"
"place-meghamalai-theni","Meghamalai (Highwavys Range)","Theni","Tamil Nadu",20,"Low confidence score"
"place-marvel-at-the-victoria-memorial-kolkata","Marvel at the Victoria Memorial","Kolkata","West Bengal",43.33333333333333,"Low confidence score"
"place-rock-garden-tirupati","Rock Garden","Tirupati","Andhra Pradesh",32.5,"Low confidence score"
"place-meenakshi-amman-temple-madurai","Meenakshi Amman Temple","Madurai","Tamil Nadu",26.666666666666664,"Low confidence score"
"place-dudhsagar-falls-nashik","Dudhsagar Falls","Goa","Goa",35,"Low confidence score"
"place-engage-in-the-adventures-of-solang-valley-manali","Engage in the Adventures of Solang Valley","Manali","Himachal Pradesh",35,"Low confidence score"
"place-limestone-caves-baratang-island","Limestone Caves","Baratang Island","Andaman and Nicobar Islands",17.5,"Low confidence score"
"place-bharatpur-beach-andaman","Bharatpur Beach","Neil Island","Andaman and Nicobar Islands",42.5,"Low confidence score"
"place-cellular-jail-andaman","Cellular Jail","Port Blair","Andaman and Nicobar Islands",50,"Low confidence score"
"place-amaravathi-temple-amravati","Amaravathi Temple","Amravati","Andhra Pradesh",42.5,"Low confidence score"
"place-chikhaldara-hill-station-amravati","Chikhaldara Hill Station","Amravati","Andhra Pradesh",25,"Low confidence score"
"place-melghat-tiger-reserve-amravati","Melghat Tiger Reserve","Amravati","Andhra Pradesh",25,"Low confidence score"
"place-lepakshi-anantapur","Lepakshi","Anantapur","Andhra Pradesh",75,"No photo found"
"place-gandikota-fort-kadapa","Gandikota Fort","Kadapa","Andhra Pradesh",27.5,"Low confidence score"
"place-belum-caves-kurnool","Belum Caves","Kurnool","Andhra Pradesh",25,"Low confidence score"
