place_id,place_name,city,state,old_image_url,new_image_url,pexels_photo_id,pexels_url,photographer,photographer_url,query_used,match_type,match_score,action,status
"place-taj-mahal-agra","Taj Mahal","Agra","Uttar Pradesh","https://upload.wikimedia.org/wikipedia/commons/thumb/1/1d/Taj_Mahal_%28Edited%29.jpeg/640px-Taj_Mahal_%28Edited%29.jpeg","https://images.pexels.com/photos/11948442/pexels-photo-11948442.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940","11948442","https://www.pexels.com/photo/the-taj-mahal-in-india-11948442/","Abhinav Sharma","https://www.pexels.com/@abhi31","Taj Mahal, Agra, Uttar Pradesh, India","relevant",70,"REPLACED_RELEVANT","replaced"
"place-radhanagar-beach-andaman","Radhanagar Beach","Havelock Island","Andaman and Nicobar Islands","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/03/89/e9/f8/radhanagar-beach.jpg?w=900&h=500&s=1","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/03/89/e9/f8/radhanagar-beach.jpg?w=900&h=500&s=1","","","","","Radhanagar Beach, Havelock Island, Andaman and Nicobar Islands, India","weak",42.5,"KEPT_EXISTING","kept_existing"
"place-suruli-falls-theni","Suruli Falls","Theni","Tamil Nadu","https://images.unsplash.com/photo-1432405972618-c60b0225b8f9?w=800","https://images.unsplash.com/photo-1432405972618-c60b0225b8f9?w=800","","","","","Theni, Tamil Nadu, India waterfall","weak",42.5,"KEPT_EXISTING","kept_existing"
"place-meghamalai-theni","Meghamalai (Highwavys Range)","Theni","Tamil Nadu","https://images.unsplash.com/photo-1626621341517-bbf3d9990a23?w=800","https://images.unsplash.com/photo-1626621341517-bbf3d9990a23?w=800","","","","","Meghamalai (Highwavys Range), Theni, Tamil Nadu, India","weak",20,"KEPT_EXISTING","kept_existing"
"place-kaziranga-national-park-kaziranga-national-park","Kaziranga National Park","Kaziranga National Park","Assam","https://images.unsplash.com/photo-1534188753412-3e26d0d618d6?w=800","https://images.pexels.com/photos/35981367/pexels-photo-35981367.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940","35981367","https://www.pexels.com/photo/barking-deer-pair-in-kaziranga-national-park-35981367/","Naman Aggarwal","https://www.pexels.com/@naman-aggarwal-16616480","Kaziranga National Park, Kaziranga National Park, Assam, India","exact",85,"REPLACED_EXACT","replaced"
"place-marvel-at-the-victoria-memorial-kolkata","Marvel at the Victoria Memorial","Kolkata","West Bengal","https://images.unsplash.com/photo-1470071459604-3b5ec3a7fe05?w=800","https://images.unsplash.com/photo-1470071459604-3b5ec3a7fe05?w=800","","","","","Marvel at the Victoria Memorial, Kolkata, West Bengal, India","weak",43.33333333333333,"KEPT_EXISTING","kept_existing"
"place-dal-lake-srinagar","Dal Lake","Srinagar","Jammu and Kashmir","https://upload.wikimedia.org/wikipedia/commons/thumb/e/e1/Dal_Lake_Hazratbal_Srinagar.jpg/800px-Dal_Lake_Hazratbal_Srinagar.jpg","https://images.pexels.com/photos/6738359/pexels-photo-6738359.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940","6738359","https://www.pexels.com/photo/aerial-shot-of-a-town-by-the-lake-6738359/","Imad Clicks","https://www.pexels.com/@imadclicks","Dal Lake, Srinagar, Jammu and Kashmir, India","exact",80,"REPLACED_EXACT","replaced"
"place-rock-garden-tirupati","Rock Garden","Tirupati","Andhra Pradesh","https://images.unsplash.com/photo-1585320806297-9794b3e4eeae?w=800","https://images.unsplash.com/photo-1585320806297-9794b3e4eeae?w=800","","","","","Rock Garden, Tirupati, Andhra Pradesh, India","weak",32.5,"KEPT_EXISTING","kept_existing"
"place-qutub-minar-delhi","Qutub Minar","Delhi","Delhi","https://upload.wikimedia.org/wikipedia/commons/thumb/c/c0/Qutb_Minar_2011.jpg/200px-Qutb_Minar_2011.jpg","https://images.pexels.com/photos/16892575/pexels-photo-16892575.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940","16892575","https://www.pexels.com/photo/qutab-minar-in-new-delhi-in-india-16892575/","Ravi Roshan","https://www.pexels.com/@ravi-roshan-2875998","Qutub Minar, Delhi, Delhi, India","exact",85,"REPLACED_EXACT","replaced"
"place-meenakshi-amman-temple-madurai","Meenakshi Amman Temple","Madurai","Tamil Nadu","https://images.unsplash.com/photo-1614082242765-7c98ca0f3df3?w=800","https://images.unsplash.com/photo-1614082242765-7c98ca0f3df3?w=800","","","","","Meenakshi Amman Temple, Madurai, Tamil Nadu, India","weak",26.666666666666664,"KEPT_EXISTING","kept_existing"
