city_id,state_id,state_name,city_name,alternate_names,destination_type,description,short_description,latitude,longitude,rating,review_count,ideal_duration_days,best_time_to_visit,peak_season,budget_level,primary_category,secondary_categories,accessibility,nearest_airport,nearest_railway_station,nearest_major_city,is_major_destination,is_offbeat_destination,source_id
CT-0001,ST-33,Tamil Nadu,Chennai,,City,,,13.013856,80.263778,,,,,,,Culture,,Unknown,,,,True,False,
CT-0002,ST-33,Tamil Nadu,Madurai,,Pilgrimage,,,9.918567,78.110223,,,,,,,Religious,,Unknown,,,,True,False,
CT-0003,ST-33,Tamil Nadu,Coimbatore,,City,,,10.998907,76.940577,,,,,,,Nature,,Unknown,,,,True,False,
CT-0004,ST-33,Tamil Nadu,Ooty (Udhagamandalam),Udhagamandalam,Hill Station,,,11.405675,76.700366,,,,,,,Nature,,Unknown,,,,True,False,
CT-0005,ST-33,Tamil Nadu,Kodaikanal,,Hill Station,,,10.231297,77.490905,,,,,,,Nature,,Unknown,,,,True,False,
CT-0006,ST-33,Tamil Nadu,Rameswaram,,Pilgrimage,,,9.293995,79.309691,,,,,,,Religious,,Unknown,,,,True,False,
CT-0007,ST-33,Tamil Nadu,Kanyakumari,,Beach Destination,,,8.079387,77.548865,,,,,,,Nature,,Unknown,,,,True,False,
CT-0008,ST-33,Tamil Nadu,Thanjavur,,Heritage Destination,,,10.786192,79.134765,,,,,,,Heritage,,Unknown,,,,True,False,
CT-0009,ST-33,Tamil Nadu,Tiruchirappalli,,Heritage Destination,,,10.835346,78.684407,,,,,,,Religious,,Unknown,,,,True,False,
CT-0010,ST-33,Tamil Nadu,Mahabalipuram,,Heritage Destination,,,12.620899,80.19465,,,,,,,Heritage,,Unknown,,,,True,False,
CT-0011,ST-33,Tamil Nadu,Kanchipuram,,Pilgrimage,,,12.835469,79.705766,,,,,,,Religious,,Unknown,,,,True,False,
CT-0012,ST-33,Tamil Nadu,Yercaud,,Hill Station,,,11.777838,78.213488,,,,,,,Nature,,Unknown,,,,True,True,
CT-0013,ST-33,Tamil Nadu,Courtallam,Kutralam,Nature Destination,,,8.923876,77.26978,,,,,,,Nature,,Unknown,,,,False,False,
CT-0014,ST-33,Tamil Nadu,Hogenakkal,,Nature Destination,,,12.116524,77.778954,,,,,,,Nature,,Unknown,,,,False,True,
CT-0015,ST-33,Tamil Nadu,Chettinad,Karaikudi / Kanadukathan region,Heritage Destination,,,10.138043,78.771016,,,,,,,Heritage,,Unknown,,,,True,True,
CT-0016,ST-33,Tamil Nadu,Vellore,,Heritage Destination,,,12.921535,79.133223,,,,,,,History,,Unknown,,,,False,False,
CT-0017,ST-33,Tamil Nadu,Tiruvannamalai,,Pilgrimage,,,12.231646,79.06774,,,,,,,Spiritual,,Unknown,,,,False,False,
CT-0018,ST-33,Tamil Nadu,Yelagiri,,Hill Station,,,12.602664,78.651221,,,,,,,Nature,,Unknown,,,,False,True,
CT-0019,ST-33,Tamil Nadu,Pichavaram,,Nature Destination,,,11.431882,79.781047,,,,,,,Nature,,Unknown,,,,False,True,
